user_id,movie_id,title,genre,director,language,age_rating,year,rating,age,gender,occupation,timestamp
U0079,M0102,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2014,3.0,64.0,F,Doctor,2024-07-21
U0074,M0122,The Lost Heart,Comedy,Greta Gerwig,Spanish,PG,2009,3.5,57.0,Unknown,Unknown,2024-02-28
U0046,M0023,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,2000,2.0,53.0,M,Artist,2024-11-13
U0042,M0019,The Twisted Moon,Documentary,Denis Villeneuve,French,R,2004,3.5,48.0,M,Unknown,2024-07-08
U0220,M0110,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,2011,3.5,55.0,M,Artist,2024-07-25
U0219,M0113,The Rising Ocean,Drama,Steven Spielberg,English,PG-13,2017,1.0,29.0,Other,Other,2024-10-11
U0252,M0083,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,1999,2.5,26.0,F,Engineer,2024-07-01
U0020,M0013,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,2003,4.0,34.0,M,Artist,2024-12-14
U0234,M0088,The Hidden Kingdom,Unknown,Ava DuVernay,Italian,PG-13,2017,2.0,58.0,M,Artist,2024-01-07
U0029,M0095,The Golden River,Romance,Quentin Tarantino,Portuguese,NC-17,1995,3.0,45.0,Unknown,Other,2024-06-15
U0016,M0099,The Twisted Moon,Documentary,Denis Villeneuve,French,R,2000,2.5,59.0,M,Engineer,2024-08-26
U0231,M0044,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2002,2.0,31.0,M,Teacher,2024-12-05
U0188,M0107,The Last Journey,Horror,Martin Scorsese,French,PG,1990,3.0,56.0,M,Artist,2024-07-17
U0185,M0137,The Sacred Sky,Horror,Martin Scorsese,English,PG,1993,1.5,32.0,F,Teacher,2024-09-04
U0148,M0147,The Last Journey,Horror,Martin Scorsese,French,PG,2006,4.0,41.0,F,Engineer,2024-03-23
U0173,M0067,The Last Journey,Horror,Unknown,French,PG,2007,4.5,41.0,Unknown,Artist,2024-09-22
U0244,M0102,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2014,3.5,26.0,M,Teacher,2024-01-08
U0258,M0039,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,1997,3.5,28.0,Other,Unknown,2024-05-08
U0142,M0110,The Silver Horizon,Fantasy,Unknown,Hindi,NC-17,2011,4.5,45.0,F,Student,2024-09-03
U0027,M0065,The Silent Shadow,Romance,Quentin Tarantino,English,NC-17,2019,3.5,23.0,F,Unknown,2024-01-11
U0271,M0111,The Burning Echo,Unknown,Christopher Nolan,Portuguese,G,1997,2.5,46.0,F,Manager,2024-12-06
U0106,M0085,The Silent Shadow,Romance,Quentin Tarantino,Japanese,NC-17,1998,4.5,24.0,Other,Artist,2024-04-24
U0252,M0006,The Broken Path,Thriller,Sofia Coppola,Hindi,G,1998,5.0,27.0,F,Doctor,2024-10-22
U0101,M0028,The Hidden Kingdom,Animation,Unknown,Korean,PG-13,2003,3.5,60.0,M,Doctor,2024-02-06
U0105,M0034,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Spanish,R,2012,4.0,61.0,F,Manager,2024-07-24
U0011,M0133,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,1997,2.5,47.0,F,Teacher,2024-05-08
U0070,M0087,The Last Journey,Horror,Martin Scorsese,Portuguese,PG,2006,1.5,21.0,Other,Student,2024-11-04
U0058,M0081,The Dark Storm,Action,Christopher Nolan,English,G,2015,2.5,63.0,Other,Student,2024-04-27
U0283,M0119,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,2001,3.5,42.0,Other,Manager,2024-08-13
U0294,M0150,The Silver Horizon,Fantasy,Unknown,Hindi,NC-17,2003,1.0,46.0,Unknown,Artist,2024-12-13
U0281,M0030,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,1996,3.5,38.0,F,Retired,2024-11-22
U0110,M0039,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,1997,3.0,40.0,M,Teacher,2024-01-08
U0027,M0142,The Lost Heart,Comedy,Unknown,Hindi,PG,1994,5.0,18.0,M,Student,2024-05-07
U0137,M0021,The Dark Storm,Action,Christopher Nolan,Japanese,G,2007,4.5,59.0,M,Student,2024-07-07
U0006,M0130,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,2010,2.5,61.0,Other,Artist,2024-10-19
U0075,M0046,The Broken Path,Thriller,Sofia Coppola,Hindi,G,1992,2.5,60.0,Other,Retired,2024-11-24
U0014,M0006,The Broken Path,Thriller,Sofia Coppola,Hindi,G,1998,2.0,51.0,F,Other,2024-11-15
U0087,M0053,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,2007,2.0,45.0,F,Student,2024-09-12
U0292,M0017,The Sacred Sky,Horror,Martin Scorsese,English,PG,2002,4.0,40.0,F,Doctor,2024-06-17
U0015,M0004,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2005,1.0,48.0,F,Doctor,2024-08-18
U0167,M0063,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,2005,4.5,49.0,M,Doctor,2024-01-21
U0041,M0134,The Fallen Mountain,Unknown,Bong Joon-ho,Hindi,R,2013,3.0,62.0,F,Retired,2024-03-10
U0240,M0109,The Neon Legacy,Documentary,Denis Villeneuve,Japanese,R,2007,4.0,34.0,F,Doctor,2024-12-26
U0224,M0127,The Last Journey,Horror,Martin Scorsese,Portuguese,PG,2000,4.0,58.0,Other,Engineer,2024-12-23
U0222,M0034,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Spanish,R,2012,5.0,48.0,Other,Unknown,2024-12-06
U0075,M0150,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,2003,2.5,61.0,M,Unknown,2024-09-18
U0060,M0015,The Golden River,Romance,Quentin Tarantino,Portuguese,NC-17,2022,5.0,35.0,Other,Student,2024-04-19
U0206,M0057,The Sacred Sky,Horror,Martin Scorsese,English,PG,2013,2.5,27.0,M,Other,2024-07-11
U0109,M0090,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,2013,3.0,62.0,Other,Retired,2024-07-19
U0202,M0147,The Last Journey,Unknown,Martin Scorsese,French,PG,2006,3.0,20.0,F,Retired,2024-02-04
U0005,M0028,The Hidden Kingdom,Animation,Ava DuVernay,Korean,PG-13,2003,3.0,34.0,M,Teacher,2024-01-04
U0160,M0073,The Rising Ocean,Drama,Steven Spielberg,English,PG-13,2010,1.0,49.0,Other,Manager,2024-06-08
U0081,M0104,The Wild City,Unknown,Bong Joon-ho,Italian,R,2019,3.5,50.0,M,Doctor,2024-10-22
U0264,M0036,The Midnight Forest,Thriller,Sofia Coppola,Korean,G,2006,4.0,24.0,M,Student,2024-09-01
U0282,M0043,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,2013,5.0,38.0,F,Retired,2024-02-21
U0199,M0027,The Last Journey,Horror,Martin Scorsese,French,PG,1999,3.0,19.0,F,Engineer,2024-08-21
U0026,M0033,The Rising Ocean,Drama,Steven Spielberg,English,PG-13,1996,2.5,20.0,F,Manager,2024-11-24
U0261,M0076,The Midnight Forest,Thriller,Sofia Coppola,Korean,G,1994,3.5,23.0,F,Doctor,2024-08-27
U0029,M0070,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,1993,3.5,38.0,M,Engineer,2024-06-22
U0263,M0112,The Frozen Flame,Comedy,Greta Gerwig,Italian,PG,2008,5.0,37.0,Other,Teacher,2024-06-08
U0124,M0084,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2006,1.5,42.0,F,Artist,2024-08-09
U0080,M0119,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,2001,3.0,41.0,M,Manager,2024-08-15
U0069,M0129,The Neon Legacy,Documentary,Denis Villeneuve,English,R,1990,4.0,21.0,M,Other,2024-05-07
U0143,M0021,The Dark Storm,Action,Christopher Nolan,Japanese,G,2007,2.5,26.0,M,Student,2024-04-04
U0041,M0077,The Sacred Sky,Horror,Martin Scorsese,Japanese,PG,2003,2.0,53.0,F,Retired,2024-09-17
U0151,M0084,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2006,3.5,19.0,F,Doctor,2024-01-09
U0131,M0049,The Neon Legacy,Documentary,Denis Villeneuve,English,R,1995,1.5,60.0,Other,Unknown,2024-02-05
U0233,M0015,The Golden River,Romance,Quentin Tarantino,Portuguese,NC-17,2022,4.0,59.0,Other,Student,2024-06-27
U0181,M0098,The Shattered Star,Animation,Ava DuVernay,Spanish,PG-13,1999,2.5,36.0,Unknown,Doctor,2024-01-24
U0053,M0110,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,2011,3.5,23.0,Other,Engineer,2024-02-11
U0134,M0054,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Hindi,R,2019,4.5,57.0,F,Student,2024-09-07
U0221,M0060,The Bright Sun,Fantasy,Jordan Peele,Korean,NC-17,2007,5.0,48.0,Other,Doctor,2024-08-26
U0126,M0022,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,1990,1.5,38.0,Other,Student,2024-11-12
U0068,M0039,The Twisted Moon,Documentary,Unknown,Portuguese,R,1997,4.5,65.0,M,Doctor,2024-06-24
U0018,M0025,The Silent Shadow,Romance,Quentin Tarantino,English,NC-17,2011,4.0,43.0,M,Teacher,2024-09-04
U0256,M0125,The Silent Shadow,Romance,Quentin Tarantino,Japanese,NC-17,1999,2.5,52.0,M,Artist,2024-06-06
U0238,M0026,The Broken Path,Thriller,Sofia Coppola,Spanish,G,2007,3.0,59.0,Other,Retired,2024-07-25
U0232,M0085,The Silent Shadow,Romance,Quentin Tarantino,Unknown,NC-17,1998,5.0,29.0,M,Engineer,2024-07-27
U0030,M0113,The Rising Ocean,Drama,Steven Spielberg,English,PG-13,2017,4.5,42.0,Unknown,Engineer,2024-05-25
U0025,M0010,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,1992,5.0,65.0,M,Other,2024-10-21
U0080,M0146,The Broken Path,Thriller,Sofia Coppola,Spanish,G,2000,4.0,27.0,Other,Manager,2024-01-01
U0197,M0140,The Bright Sun,Fantasy,Jordan Peele,Korean,NC-17,1995,2.0,54.0,F,Unknown,2024-09-13
U0176,M0058,The Shattered Star,Animation,Ava DuVernay,Spanish,PG-13,2012,3.0,52.0,M,Retired,2024-12-01
U0133,M0089,The Neon Legacy,Documentary,Denis Villeneuve,Unknown,R,2015,4.5,54.0,Unknown,Manager,2024-10-04
U0058,M0105,The Silent Shadow,Romance,Quentin Tarantino,English,NC-17,2023,3.5,38.0,M,Engineer,2024-12-08
U0032,M0024,The Wild City,Sci-Fi,Bong Joon-ho,Unknown,R,2017,4.5,48.0,F,Doctor,2024-06-20
U0016,M0010,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,1992,3.5,63.0,F,Student,2024-10-03
U0037,M0102,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2014,5.0,25.0,F,Artist,2024-12-15
U0095,M0029,The Neon Legacy,Documentary,Denis Villeneuve,Japanese,R,2011,4.5,51.0,Other,Teacher,2024-01-12
U0020,M0117,The Sacred Sky,Horror,Martin Scorsese,Japanese,PG,2006,2.5,27.0,Other,Student,2024-05-28
U0006,M0080,The Bright Sun,Fantasy,Jordan Peele,Italian,NC-17,2021,2.0,37.0,F,Student,2024-05-10
U0217,M0092,The Frozen Flame,Comedy,Greta Gerwig,Korean,PG,1998,3.5,50.0,M,Student,2024-06-14
U0055,M0080,The Bright Sun,Fantasy,Jordan Peele,Italian,NC-17,2021,4.5,26.0,Other,Teacher,2024-12-04
U0139,M0055,The Golden River,Romance,Quentin Tarantino,Portuguese,NC-17,2013,3.0,60.0,F,Artist,2024-09-02
U0254,M0107,The Last Journey,Horror,Martin Scorsese,French,PG,1990,4.0,18.0,F,Doctor,2024-02-14
U0064,M0039,The Twisted Moon,Documentary,Denis Villeneuve,Portuguese,R,1997,2.5,23.0,F,Student,2024-09-19
U0267,M0030,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,1996,2.5,44.0,F,Retired,2024-05-27
U0086,M0002,The Lost Heart,Comedy,Greta Gerwig,Spanish,PG,1991,3.5,23.0,F,Manager,2024-02-18
U0257,M0013,The Rising Ocean,Drama,Unknown,Unknown,PG-13,2003,2.5,44.0,F,Doctor,2024-04-27
U0099,M0085,The Silent Shadow,Romance,Quentin Tarantino,Japanese,NC-17,1998,2.5,59.0,M,Engineer,2024-07-22
U0295,M0112,The Frozen Flame,Comedy,Greta Gerwig,Italian,PG,2008,2.5,54.0,M,Engineer,2024-08-23
U0181,M0124,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2002,2.0,41.0,F,Artist,2024-09-26
U0019,M0010,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,1992,2.0,33.0,F,Engineer,2024-11-12
U0032,M0021,The Dark Storm,Action,Christopher Nolan,Unknown,G,2007,3.0,59.0,M,Artist,2024-03-22
U0043,M0048,The Hidden Kingdom,Animation,Ava DuVernay,Italian,PG-13,2008,3.0,19.0,Other,Retired,2024-03-04
U0287,M0109,The Neon Legacy,Documentary,Denis Villeneuve,Japanese,R,2007,2.5,52.0,M,Retired,2024-12-19
U0001,M0052,The Frozen Flame,Comedy,Greta Gerwig,Korean,PG,2014,5.0,19.0,Other,Doctor,2024-10-08
U0026,M0144,The Wild City,Sci-Fi,Bong Joon-ho,Italian,R,1998,2.0,24.0,Other,Student,2024-11-11
U0199,M0037,The Sacred Sky,Horror,Martin Scorsese,Japanese,PG,1992,4.0,65.0,F,Engineer,2024-04-20
U0055,M0072,The Frozen Flame,Comedy,Greta Gerwig,Italian,PG,1992,2.0,40.0,Unknown,Teacher,2024-03-12
U0159,M0103,The Eternal Dream,Drama,Steven Spielberg,Unknown,PG-13,2014,3.5,26.0,M,Teacher,2024-08-17
U0300,M0039,The Twisted Moon,Documentary,Unknown,Portuguese,R,1997,2.5,41.0,F,Teacher,2024-10-18
U0004,M0024,The Wild City,Unknown,Bong Joon-ho,Italian,R,2017,4.5,28.0,Other,Unknown,2024-09-23
U0259,M0108,The Hidden Kingdom,Animation,Ava DuVernay,Korean,PG-13,1997,3.5,24.0,Other,Other,2024-04-19
U0002,M0139,The Twisted Moon,Documentary,Denis Villeneuve,French,R,1995,2.5,64.0,Other,Other,2024-03-07
U0010,M0130,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,2010,2.5,33.0,M,Teacher,2024-08-08
U0219,M0114,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Spanish,R,2000,3.0,35.0,F,Other,2024-03-08
U0173,M0088,The Hidden Kingdom,Unknown,Ava DuVernay,Italian,PG-13,2017,3.5,60.0,Other,Student,2024-10-11
U0061,M0019,The Twisted Moon,Unknown,Denis Villeneuve,French,R,2004,2.5,62.0,Other,Manager,2024-04-22
U0037,M0046,The Broken Path,Thriller,Sofia Coppola,Hindi,G,1992,2.0,52.0,Other,Other,2024-03-28
U0272,M0137,The Sacred Sky,Horror,Martin Scorsese,English,PG,1993,3.0,37.0,Other,Retired,2024-03-04
U0222,M0019,The Twisted Moon,Documentary,Denis Villeneuve,French,R,2004,4.5,58.0,F,Retired,2024-05-25
U0277,M0098,The Shattered Star,Animation,Ava DuVernay,Spanish,PG-13,1999,3.0,27.0,M,Other,2024-04-14
U0165,M0084,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2006,3.5,41.0,M,Engineer,2024-04-14
U0249,M0107,The Last Journey,Horror,Martin Scorsese,French,PG,1990,3.0,43.0,M,Retired,2024-06-21
U0195,M0122,The Lost Heart,Comedy,Greta Gerwig,Spanish,PG,2009,3.0,37.0,M,Doctor,2024-06-14
U0182,M0113,The Rising Ocean,Drama,Steven Spielberg,English,PG-13,2017,1.0,44.0,Other,Unknown,2024-01-06
U0183,M0051,The Burning Echo,Action,Christopher Nolan,French,G,1996,2.0,41.0,F,Manager,2024-12-14
U0136,M0113,The Rising Ocean,Drama,Steven Spielberg,English,PG-13,2017,2.0,27.0,F,Unknown,2024-12-12
U0089,M0125,The Silent Shadow,Unknown,Quentin Tarantino,Japanese,NC-17,1999,4.5,39.0,F,Manager,2024-06-18
U0153,M0063,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,2005,2.0,62.0,Other,Other,2024-07-18
U0102,M0110,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,2011,1.0,46.0,F,Teacher,2024-05-15
U0192,M0003,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,2007,3.5,50.0,M,Manager,2024-07-24
U0250,M0100,The Bright Sun,Fantasy,Jordan Peele,Korean,NC-17,2017,3.0,46.0,Other,Doctor,2024-03-11
U0013,M0105,The Silent Shadow,Romance,Unknown,English,NC-17,2023,3.0,58.0,Other,Doctor,2024-07-04
U0022,M0124,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2002,3.0,28.0,Other,Student,2024-11-03
U0110,M0038,The Shattered Star,Animation,Ava DuVernay,Hindi,PG-13,2019,1.5,53.0,M,Student,2024-12-18
U0125,M0139,The Twisted Moon,Documentary,Denis Villeneuve,French,R,1995,4.5,30.0,Other,Doctor,2024-05-07
U0244,M0138,The Shattered Star,Animation,Ava DuVernay,Spanish,PG-13,2005,2.0,25.0,M,Artist,2024-05-25
U0148,M0097,The Sacred Sky,Horror,Martin Scorsese,English,PG,1997,3.5,45.0,M,Other,2024-04-15
U0283,M0014,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Unknown,R,2004,2.0,56.0,M,Other,2024-08-18
U0202,M0112,The Frozen Flame,Comedy,Greta Gerwig,Italian,PG,2008,2.5,33.0,Other,Student,2024-05-01
U0019,M0119,The Twisted Moon,Unknown,Denis Villeneuve,Portuguese,R,2001,4.5,25.0,M,Doctor,2024-09-05
U0201,M0131,The Burning Echo,Action,Christopher Nolan,French,G,2021,1.0,38.0,M,Student,2024-06-23
U0297,M0072,The Frozen Flame,Comedy,Greta Gerwig,Italian,PG,1992,2.5,44.0,M,Other,2024-03-26
U0187,M0117,The Sacred Sky,Horror,Martin Scorsese,Japanese,PG,2006,2.5,28.0,F,Manager,2024-08-05
U0072,M0093,The Rising Ocean,Drama,Steven Spielberg,Japanese,PG-13,2022,3.0,40.0,F,Teacher,2024-12-03
U0124,M0088,The Hidden Kingdom,Animation,Ava DuVernay,Italian,PG-13,2017,3.0,60.0,M,Artist,2024-04-04
U0149,M0011,The Burning Echo,Unknown,Christopher Nolan,French,G,1991,5.0,56.0,M,Artist,2024-09-21
U0245,M0122,The Lost Heart,Comedy,Greta Gerwig,Unknown,PG,2009,2.5,65.0,Other,Retired,2024-08-20
U0054,M0110,The Silver Horizon,Fantasy,Unknown,Hindi,NC-17,2011,2.5,54.0,F,Manager,2024-09-22
U0103,M0099,The Twisted Moon,Unknown,Denis Villeneuve,French,R,2000,2.5,46.0,M,Student,2024-04-18
U0297,M0062,The Lost Heart,Comedy,Greta Gerwig,Unknown,PG,2000,2.0,43.0,Other,Retired,2024-09-15
U0241,M0143,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,1998,1.0,62.0,M,Retired,2024-05-13
U0143,M0088,The Hidden Kingdom,Animation,Ava DuVernay,Italian,PG-13,2017,4.5,47.0,Other,Retired,2024-11-24
U0273,M0005,The Silent Shadow,Romance,Quentin Tarantino,Japanese,NC-17,2004,3.0,34.0,F,Retired,2024-06-02
U0043,M0036,The Midnight Forest,Thriller,Sofia Coppola,Korean,G,2006,4.0,19.0,M,Retired,2024-01-01
U0200,M0008,The Hidden Kingdom,Animation,Ava DuVernay,Italian,PG-13,1995,2.0,29.0,M,Teacher,2024-07-04
U0045,M0036,The Midnight Forest,Thriller,Sofia Coppola,Korean,G,2006,4.5,57.0,Unknown,Doctor,2024-12-03
U0145,M0041,The Dark Storm,Action,Christopher Nolan,English,G,1995,3.5,62.0,Other,Engineer,2024-12-02
U0021,M0028,The Hidden Kingdom,Animation,Ava DuVernay,Korean,PG-13,2003,4.0,38.0,Other,Unknown,2024-06-05
U0261,M0130,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,2010,1.0,39.0,Other,Manager,2024-07-05
U0141,M0040,The Bright Sun,Fantasy,Jordan Peele,Italian,NC-17,2014,4.0,21.0,Other,Teacher,2024-06-26
U0005,M0098,The Shattered Star,Animation,Ava DuVernay,Spanish,PG-13,1999,2.0,56.0,F,Unknown,2024-12-26
U0217,M0094,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Hindi,R,2021,3.0,27.0,Unknown,Doctor,2024-12-15
U0138,M0147,The Last Journey,Horror,Martin Scorsese,French,PG,2006,4.0,43.0,Other,Retired,2024-10-09
U0059,M0102,The Lost Heart,Comedy,Greta Gerwig,Hindi,PG,2014,4.5,48.0,Other,Other,2024-06-19
U0289,M0020,The Bright Sun,Fantasy,Jordan Peele,Korean,NC-17,2018,3.0,46.0,Other,Engineer,2024-02-06
U0044,M0104,The Wild City,Sci-Fi,Bong Joon-ho,Italian,R,2019,2.0,24.0,Other,Student,2024-04-07
U0168,M0045,The Silent Shadow,Romance,Quentin Tarantino,Japanese,NC-17,1994,3.5,59.0,F,Retired,2024-12-08
U0208,M0097,The Sacred Sky,Horror,Unknown,English,PG,1997,3.0,27.0,Other,Teacher,2024-10-18
U0048,M0057,The Sacred Sky,Horror,Martin Scorsese,English,PG,2013,1.5,28.0,Other,Doctor,2024-09-06
U0292,M0065,The Silent Shadow,Romance,Unknown,English,NC-17,2019,1.0,61.0,F,Teacher,2024-05-20
U0085,M0002,The Lost Heart,Comedy,Greta Gerwig,Spanish,PG,1991,4.0,56.0,Other,Doctor,2024-10-06
U0041,M0106,The Broken Path,Unknown,Sofia Coppola,Spanish,G,2006,4.5,32.0,F,Artist,2024-08-02
U0270,M0123,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,2022,1.5,58.0,F,Doctor,2024-07-14
U0245,M0041,The Dark Storm,Action,Christopher Nolan,English,G,1995,3.0,42.0,F,Doctor,2024-01-28
U0148,M0150,The Silver Horizon,Fantasy,Jordan Peele,Hindi,NC-17,2003,4.0,50.0,Other,Engineer,2024-12-07
U0207,M0012,The Frozen Flame,Comedy,Greta Gerwig,Korean,PG,1995,3.0,18.0,F,Teacher,2024-12-11
U0265,M0010,The Silver Horizon,Fantasy,Jordan Peele,Spanish,NC-17,1992,2.5,53.0,M,Manager,2024-04-12
U0221,M0030,The Silver Horizon,Fantasy,Unknown,Hindi,NC-17,1996,4.0,36.0,F,Manager,2024-02-03
U0293,M0146,The Broken Path,Thriller,Sofia Coppola,Spanish,G,2000,4.0,21.0,M,Engineer,2024-06-20
U0085,M0087,The Last Journey,Horror,Martin Scorsese,Portuguese,PG,2006,2.0,22.0,F,Unknown,2024-06-03
U0256,M0140,The Bright Sun,Fantasy,Jordan Peele,Korean,NC-17,1995,2.0,39.0,Other,Teacher,2024-02-26
U0047,M0083,The Eternal Dream,Drama,Steven Spielberg,French,PG-13,1999,4.5,60.0,M,Retired,2024-07-03
U0145,M0034,The Fallen Mountain,Sci-Fi,Bong Joon-ho,Spanish,R,2012,2.5,25.0,Other,Doctor,2024-02-18
U0070,M0077,The Sacred Sky,Horror,Martin Scorsese,Japanese,PG,2003,1.5,39.0,F,Manager,2024-04-06
U0100,M0101,The Dark Storm,Action,Christopher Nolan,Japanese,G,1994,3.0,62.0,Other,Artist,2024-07-25
U0033,M0120,The Bright Sun,Fantasy,Jordan Peele,Italian,NC-17,2022,2.0,18.0,M,Unknown,2024-03-09
U0098,M0103,The Eternal Dream,Drama,Steven Spielberg,Portuguese,PG-13,2014,4.0,32.0,Unknown,Manager,2024-03-25
U0087,M0064,The Wild City,Sci-Fi,Bong Joon-ho,Italian,R,2000,3.5,62.0,Other,Other,2024-06-23
U0266,M0035,The Golden River,Romance,Quentin Tarantino,French,NC-17,2012,4.0,42.0,M,Unknown,2024-09-02
U0022,M0074,The Fallen Mountain,Sci-Fi,Unknown,Spanish,R,2015,2.0,62.0,F,Student,2024-03-09
U0127,M0146,The Broken Path,Thriller,Sofia Coppola,Spanish,G,2000,1.5,41.0,Other,Other,2024-10-14
U0026,M0034,The Fallen Mountain,Unknown,Bong Joon-ho,Spanish,R,2012,3.0,41.0,Unknown,Manager,2024-05-06
U0249,M0084,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2006,4.0,41.0,M,Teacher,2024-06-24
U0168,M0110,The Silver Horizon,Fantasy,Unknown,Hindi,NC-17,2011,3.5,43.0,Other,Manager,2024-07-16
U0018,M0011,The Burning Echo,Action,Christopher Nolan,French,G,1991,4.0,47.0,F,Teacher,2024-10-13
U0264,M0047,The Last Journey,Horror,Martin Scorsese,Portuguese,PG,2004,4.0,54.0,Other,Manager,2024-01-01
U0192,M0055,The Golden River,Romance,Quentin Tarantino,Portuguese,NC-17,2013,3.0,37.0,M,Manager,2024-05-13
U0151,M0044,The Wild City,Sci-Fi,Bong Joon-ho,Korean,R,2002,1.0,50.0,F,Engineer,2024-05-02
U0180,M0043,The Eternal Dream,Drama,Steven Spielberg,Unknown,PG-13,2013,2.5,62.0,Other,Manager,2024-04-24
